COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36,COL37,COL38,COL39,COL40,COL41
24661817,66,1817,548.0,5.0,10.0,20.0,10.0,20.0,45.0,40.0,30.0,20.0,25.0,20.0,15.0,10.0,5.0,5.0,5.0,0.0,0.0,15.0,10.0,5.0,5.0,30.0,40.0,40.0,20.0,20.0,10.0,15.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,420.0,150.0
24661829,66,1829,482.0,10.0,10.0,0.0,5.0,25.0,30.0,40.0,25.0,15.0,10.0,10.0,10.0,10.0,15.0,15.0,5.0,5.0,5.0,10.0,10.0,10.0,0.0,20.0,30.0,25.0,20.0,20.0,10.0,5.0,10.0,10.0,10.0,15.0,5.0,10.0,10.0,395.0,95.0
24661830,66,1830,518.0,10.0,10.0,5.0,10.0,20.0,25.0,25.0,30.0,25.0,20.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,15.0,15.0,15.0,10.0,30.0,40.0,25.0,25.0,25.0,10.0,10.0,10.0,5.0,20.0,5.0,10.0,5.0,5.0,415.0,155.0
24661831,66,1831,414.0,5.0,15.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,0.0,0.0,0.0,10.0,15.0,5.0,15.0,20.0,20.0,25.0,15.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,0.0,5.0,0.0,325.0,90.0
24661832,66,1832,572.0,15.0,10.0,5.0,10.0,25.0,40.0,35.0,35.0,20.0,20.0,15.0,25.0,10.0,5.0,10.0,5.0,0.0,5.0,15.0,15.0,15.0,5.0,25.0,45.0,40.0,30.0,30.0,15.0,15.0,10.0,10.0,10.0,5.0,5.0,0.0,5.0,420.0,135.0
24661833,66,1833,598.0,5.0,15.0,10.0,10.0,25.0,40.0,55.0,30.0,25.0,15.0,10.0,15.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,40.0,55.0,45.0,30.0,20.0,10.0,5.0,15.0,15.0,15.0,10.0,5.0,0.0,10.0,385.0,170.0
24661835,66,1835,568.0,10.0,15.0,10.0,10.0,30.0,45.0,50.0,25.0,25.0,20.0,15.0,10.0,10.0,15.0,10.0,10.0,5.0,0.0,10.0,10.0,15.0,5.0,35.0,45.0,35.0,25.0,15.0,15.0,10.0,10.0,10.0,10.0,15.0,10.0,0.0,5.0,425.0,190.0
24661836,66,1836,325.0,5.0,10.0,5.0,5.0,15.0,15.0,20.0,10.0,15.0,15.0,5.0,15.0,15.0,0.0,10.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,10.0,20.0,20.0,15.0,20.0,5.0,5.0,15.0,5.0,10.0,5.0,10.0,0.0,0.0,170.0,80.0
24661837,66,1837,460.0,10.0,10.0,5.0,5.0,10.0,25.0,25.0,10.0,15.0,15.0,20.0,15.0,15.0,10.0,5.0,10.0,0.0,5.0,10.0,10.0,10.0,10.0,15.0,30.0,20.0,20.0,25.0,10.0,15.0,15.0,10.0,20.0,10.0,10.0,0.0,5.0,365.0,85.0
24661838,66,1838,740.0,20.0,20.0,20.0,15.0,25.0,55.0,55.0,45.0,30.0,30.0,20.0,15.0,10.0,10.0,5.0,5.0,0.0,0.0,15.0,20.0,20.0,15.0,40.0,65.0,40.0,35.0,30.0,20.0,20.0,20.0,10.0,10.0,0.0,0.0,5.0,0.0,580.0,195.0
24661839,66,1839,632.0,5.0,20.0,15.0,20.0,45.0,45.0,35.0,30.0,30.0,10.0,20.0,20.0,15.0,10.0,20.0,5.0,0.0,0.0,10.0,15.0,15.0,10.0,40.0,45.0,25.0,25.0,25.0,15.0,10.0,10.0,20.0,15.0,10.0,0.0,0.0,0.0,470.0,175.0
24661840,66,1840,350.0,5.0,10.0,10.0,5.0,10.0,10.0,15.0,20.0,10.0,15.0,15.0,20.0,10.0,15.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,10.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,350.0,50.0
24661895,66,1895,694.0,20.0,10.0,20.0,15.0,15.0,55.0,65.0,45.0,35.0,20.0,20.0,20.0,10.0,10.0,10.0,0.0,0.0,0.0,20.0,15.0,10.0,5.0,25.0,60.0,50.0,40.0,20.0,20.0,15.0,10.0,10.0,10.0,5.0,0.0,0.0,0.0,535.0,140.0
24661896,66,1896,498.0,15.0,10.0,10.0,10.0,20.0,45.0,40.0,30.0,20.0,15.0,20.0,5.0,15.0,5.0,0.0,0.0,5.0,0.0,5.0,15.0,10.0,5.0,20.0,35.0,30.0,35.0,20.0,5.0,15.0,15.0,5.0,5.0,10.0,5.0,0.0,0.0,355.0,145.0
24661897,66,1897,663.0,25.0,20.0,10.0,5.0,20.0,40.0,30.0,30.0,30.0,25.0,20.0,25.0,20.0,10.0,20.0,0.0,10.0,0.0,10.0,15.0,15.0,5.0,15.0,40.0,25.0,40.0,30.0,20.0,25.0,10.0,20.0,20.0,15.0,10.0,5.0,5.0,505.0,150.0
24661898,66,1898,509.0,5.0,5.0,10.0,10.0,20.0,40.0,35.0,20.0,20.0,20.0,15.0,30.0,5.0,10.0,10.0,10.0,0.0,0.0,10.0,5.0,15.0,5.0,30.0,30.0,20.0,20.0,20.0,20.0,15.0,10.0,10.0,10.0,5.0,0.0,5.0,5.0,390.0,100.0
24661899,66,1899,923.0,20.0,20.0,20.0,5.0,35.0,75.0,60.0,40.0,45.0,40.0,30.0,25.0,15.0,20.0,10.0,5.0,0.0,0.0,15.0,20.0,15.0,10.0,55.0,80.0,65.0,50.0,35.0,30.0,10.0,15.0,20.0,15.0,5.0,5.0,5.0,0.0,705.0,235.0
24661900,66,1900,609.0,15.0,15.0,10.0,5.0,15.0,45.0,50.0,25.0,20.0,25.0,15.0,20.0,15.0,10.0,5.0,5.0,5.0,0.0,15.0,15.0,10.0,5.0,30.0,45.0,50.0,35.0,25.0,15.0,15.0,10.0,15.0,5.0,5.0,0.0,0.0,5.0,480.0,155.0
24661901,66,1901,414.0,10.0,10.0,10.0,10.0,10.0,25.0,30.0,20.0,25.0,15.0,5.0,5.0,10.0,10.0,5.0,0.0,0.0,0.0,15.0,15.0,10.0,10.0,10.0,25.0,25.0,20.0,20.0,15.0,5.0,10.0,10.0,5.0,0.0,5.0,0.0,0.0,325.0,140.0
24661902,66,1902,677.0,15.0,20.0,10.0,15.0,30.0,30.0,30.0,30.0,35.0,20.0,20.0,25.0,15.0,5.0,10.0,5.0,0.0,0.0,10.0,25.0,25.0,10.0,20.0,55.0,35.0,35.0,30.0,20.0,20.0,20.0,30.0,10.0,10.0,5.0,0.0,0.0,530.0,105.0
24661903,66,1903,466.0,15.0,5.0,5.0,10.0,30.0,40.0,45.0,25.0,30.0,5.0,10.0,15.0,15.0,10.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,5.0,25.0,35.0,25.0,20.0,15.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,5.0,0.0,280.0,140.0
24661904,66,1904,469.0,15.0,10.0,5.0,0.0,10.0,55.0,45.0,20.0,15.0,15.0,10.0,10.0,15.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,10.0,0.0,15.0,50.0,35.0,25.0,10.0,20.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,0.0,400.0,85.0
24661905,66,1905,488.0,10.0,10.0,5.0,10.0,10.0,35.0,30.0,20.0,25.0,10.0,15.0,15.0,10.0,10.0,10.0,5.0,0.0,0.0,15.0,15.0,10.0,10.0,15.0,35.0,25.0,35.0,30.0,20.0,15.0,5.0,15.0,10.0,5.0,0.0,0.0,0.0,410.0,85.0
24661906,66,1906,466.0,15.0,10.0,5.0,5.0,25.0,35.0,35.0,20.0,25.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,0.0,5.0,10.0,10.0,10.0,25.0,40.0,40.0,20.0,20.0,10.0,10.0,5.0,5.0,10.0,10.0,5.0,0.0,0.0,345.0,100.0
24661907,66,1907,603.0,15.0,20.0,20.0,10.0,15.0,25.0,25.0,35.0,20.0,30.0,20.0,10.0,10.0,10.0,10.0,5.0,0.0,0.0,20.0,5.0,15.0,15.0,20.0,30.0,25.0,35.0,30.0,15.0,25.0,15.0,15.0,15.0,10.0,5.0,5.0,0.0,530.0,125.0
24661908,66,1908,757.0,5.0,15.0,15.0,15.0,25.0,45.0,55.0,30.0,40.0,30.0,25.0,15.0,15.0,20.0,5.0,0.0,5.0,5.0,15.0,20.0,20.0,10.0,25.0,50.0,50.0,45.0,30.0,20.0,15.0,30.0,15.0,20.0,10.0,5.0,5.0,0.0,570.0,175.0
24661909,66,1909,394.0,5.0,10.0,10.0,5.0,10.0,25.0,20.0,20.0,15.0,15.0,15.0,15.0,15.0,10.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,10.0,25.0,15.0,15.0,15.0,20.0,10.0,10.0,15.0,5.0,15.0,10.0,0.0,0.0,5.0,380.0,85.0
24661910,66,1910,453.0,10.0,10.0,10.0,5.0,15.0,20.0,30.0,20.0,20.0,10.0,15.0,10.0,5.0,10.0,10.0,5.0,0.0,0.0,10.0,10.0,10.0,5.0,20.0,30.0,30.0,20.0,20.0,10.0,5.0,20.0,5.0,10.0,0.0,0.0,5.0,0.0,390.0,40.0
24661912,66,1912,519.0,10.0,10.0,10.0,5.0,20.0,55.0,50.0,30.0,20.0,15.0,10.0,10.0,15.0,5.0,5.0,0.0,0.0,0.0,15.0,10.0,5.0,15.0,30.0,55.0,40.0,25.0,20.0,15.0,15.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,405.0,135.0
24661913,66,1913,531.0,10.0,10.0,20.0,15.0,15.0,55.0,30.0,25.0,15.0,20.0,15.0,10.0,10.0,15.0,10.0,5.0,0.0,0.0,5.0,10.0,10.0,15.0,15.0,35.0,25.0,25.0,20.0,20.0,15.0,15.0,10.0,15.0,5.0,5.0,5.0,0.0,415.0,60.0
