COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31
24661817,24,Quebec,66,Montréal,1817,170.0,145.0,0.0,20.0,0.0,195.0,85.0,85.0,0.0,60.0,40.0,10.0,0.0,195.0,50.0,60.0,60.0,15.0,15.0,195.0,0.0,0.0,35.0,90.0,25.0,40.0
24661829,24,Quebec,66,Montréal,1829,110.0,95.0,0.0,0.0,0.0,115.0,35.0,30.0,0.0,45.0,25.0,10.0,0.0,115.0,20.0,40.0,40.0,10.0,10.0,115.0,0.0,25.0,30.0,35.0,10.0,10.0
24661830,24,Quebec,66,Montréal,1830,175.0,140.0,0.0,30.0,0.0,195.0,70.0,70.0,0.0,55.0,50.0,0.0,0.0,195.0,35.0,90.0,55.0,0.0,10.0,195.0,0.0,20.0,35.0,45.0,65.0,20.0
24661831,24,Quebec,66,Montréal,1831,85.0,75.0,0.0,10.0,0.0,110.0,50.0,50.0,0.0,30.0,25.0,10.0,0.0,110.0,15.0,50.0,35.0,10.0,0.0,110.0,0.0,0.0,35.0,55.0,10.0,10.0
24661832,24,Quebec,66,Montréal,1832,135.0,125.0,0.0,0.0,0.0,160.0,25.0,25.0,0.0,75.0,25.0,30.0,0.0,160.0,25.0,90.0,30.0,15.0,0.0,160.0,0.0,15.0,45.0,65.0,15.0,10.0
24661833,24,Quebec,66,Montréal,1833,125.0,115.0,0.0,0.0,0.0,135.0,30.0,20.0,0.0,30.0,55.0,15.0,0.0,135.0,20.0,75.0,45.0,0.0,0.0,135.0,10.0,10.0,35.0,40.0,25.0,20.0
24661835,24,Quebec,66,Montréal,1835,130.0,105.0,0.0,15.0,0.0,140.0,45.0,45.0,0.0,60.0,20.0,10.0,0.0,140.0,20.0,55.0,40.0,20.0,0.0,140.0,0.0,10.0,25.0,45.0,30.0,20.0
24661836,24,Quebec,66,Montréal,1836,65.0,65.0,0.0,0.0,0.0,70.0,10.0,10.0,0.0,20.0,30.0,10.0,10.0,70.0,35.0,15.0,20.0,0.0,0.0,70.0,0.0,0.0,0.0,25.0,20.0,15.0
24661837,24,Quebec,66,Montréal,1837,125.0,125.0,0.0,0.0,0.0,140.0,40.0,30.0,0.0,50.0,40.0,10.0,0.0,140.0,20.0,65.0,45.0,0.0,10.0,140.0,0.0,15.0,25.0,25.0,50.0,25.0
24661838,24,Quebec,66,Montréal,1838,215.0,175.0,10.0,25.0,0.0,235.0,70.0,65.0,0.0,85.0,50.0,20.0,10.0,235.0,45.0,90.0,65.0,15.0,15.0,235.0,0.0,15.0,35.0,105.0,55.0,30.0
24661839,24,Quebec,66,Montréal,1839,165.0,160.0,0.0,0.0,0.0,190.0,25.0,25.0,0.0,80.0,40.0,30.0,10.0,190.0,45.0,85.0,50.0,0.0,0.0,190.0,0.0,20.0,40.0,75.0,25.0,30.0
24661840,24,Quebec,66,Montréal,1840,85.0,75.0,0.0,0.0,0.0,95.0,40.0,35.0,0.0,10.0,30.0,0.0,0.0,95.0,20.0,30.0,25.0,15.0,0.0,95.0,0.0,10.0,25.0,40.0,10.0,10.0
24661895,24,Quebec,66,Montréal,1895,200.0,170.0,20.0,10.0,0.0,215.0,55.0,55.0,0.0,50.0,35.0,65.0,0.0,215.0,55.0,90.0,30.0,30.0,10.0,215.0,20.0,10.0,40.0,65.0,55.0,30.0
24661896,24,Quebec,66,Montréal,1896,135.0,115.0,0.0,15.0,0.0,150.0,30.0,30.0,0.0,70.0,15.0,35.0,0.0,150.0,25.0,60.0,45.0,15.0,0.0,150.0,10.0,10.0,60.0,35.0,40.0,0.0
24661897,24,Quebec,66,Montréal,1897,165.0,110.0,20.0,35.0,0.0,185.0,75.0,60.0,15.0,85.0,10.0,15.0,0.0,185.0,25.0,55.0,50.0,45.0,15.0,185.0,0.0,10.0,60.0,60.0,25.0,20.0
24661898,24,Quebec,66,Montréal,1898,130.0,110.0,0.0,10.0,0.0,145.0,30.0,30.0,0.0,40.0,30.0,40.0,15.0,145.0,40.0,45.0,45.0,0.0,0.0,145.0,0.0,15.0,25.0,45.0,40.0,20.0
24661899,24,Quebec,66,Montréal,1899,195.0,170.0,10.0,15.0,0.0,235.0,75.0,70.0,0.0,65.0,65.0,20.0,10.0,235.0,55.0,115.0,60.0,10.0,0.0,235.0,10.0,35.0,60.0,50.0,50.0,30.0
24661900,24,Quebec,66,Montréal,1900,150.0,145.0,0.0,0.0,0.0,180.0,70.0,60.0,10.0,50.0,35.0,15.0,10.0,180.0,45.0,60.0,55.0,15.0,0.0,180.0,0.0,20.0,40.0,60.0,30.0,30.0
24661901,24,Quebec,66,Montréal,1901,125.0,110.0,0.0,15.0,0.0,125.0,35.0,35.0,0.0,55.0,15.0,20.0,0.0,125.0,15.0,45.0,55.0,0.0,0.0,125.0,0.0,10.0,30.0,55.0,25.0,0.0
24661902,24,Quebec,66,Montréal,1902,155.0,140.0,0.0,15.0,0.0,165.0,50.0,45.0,0.0,35.0,45.0,35.0,0.0,165.0,35.0,65.0,45.0,15.0,0.0,165.0,0.0,20.0,40.0,45.0,30.0,30.0
24661903,24,Quebec,66,Montréal,1903,125.0,115.0,0.0,0.0,0.0,140.0,30.0,30.0,0.0,25.0,45.0,35.0,0.0,140.0,40.0,60.0,30.0,10.0,0.0,140.0,0.0,0.0,45.0,45.0,15.0,35.0
24661904,24,Quebec,66,Montréal,1904,125.0,115.0,0.0,10.0,0.0,155.0,40.0,40.0,0.0,45.0,40.0,25.0,0.0,155.0,35.0,65.0,45.0,0.0,10.0,155.0,0.0,0.0,35.0,55.0,35.0,20.0
24661905,24,Quebec,66,Montréal,1905,165.0,140.0,10.0,20.0,0.0,180.0,65.0,65.0,0.0,50.0,30.0,30.0,0.0,180.0,30.0,70.0,50.0,15.0,15.0,180.0,0.0,20.0,45.0,40.0,55.0,15.0
24661906,24,Quebec,66,Montréal,1906,140.0,115.0,10.0,15.0,0.0,165.0,30.0,30.0,0.0,55.0,25.0,35.0,10.0,165.0,25.0,50.0,50.0,10.0,20.0,165.0,10.0,15.0,45.0,30.0,40.0,20.0
24661907,24,Quebec,66,Montréal,1907,160.0,140.0,10.0,10.0,0.0,165.0,35.0,35.0,0.0,25.0,65.0,35.0,0.0,165.0,60.0,35.0,65.0,0.0,0.0,165.0,0.0,10.0,45.0,50.0,40.0,15.0
24661908,24,Quebec,66,Montréal,1908,245.0,215.0,15.0,15.0,0.0,250.0,75.0,65.0,10.0,95.0,50.0,30.0,0.0,250.0,40.0,105.0,65.0,35.0,0.0,250.0,0.0,15.0,65.0,100.0,50.0,20.0
24661909,24,Quebec,66,Montréal,1909,100.0,90.0,0.0,10.0,0.0,135.0,50.0,35.0,10.0,20.0,35.0,25.0,0.0,135.0,35.0,40.0,30.0,25.0,0.0,135.0,10.0,15.0,30.0,30.0,40.0,10.0
24661910,24,Quebec,66,Montréal,1910,155.0,135.0,0.0,20.0,0.0,160.0,55.0,50.0,0.0,25.0,30.0,35.0,10.0,160.0,25.0,65.0,45.0,15.0,0.0,160.0,0.0,0.0,55.0,55.0,35.0,0.0
24661912,24,Quebec,66,Montréal,1912,205.0,175.0,10.0,25.0,0.0,220.0,55.0,35.0,20.0,55.0,60.0,35.0,0.0,220.0,35.0,85.0,75.0,10.0,10.0,220.0,10.0,10.0,55.0,65.0,30.0,45.0
24661913,24,Quebec,66,Montréal,1913,155.0,140.0,0.0,15.0,0.0,175.0,45.0,40.0,10.0,40.0,70.0,20.0,0.0,175.0,15.0,70.0,70.0,20.0,0.0,175.0,0.0,10.0,50.0,75.0,25.0,15.0
