COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24661817,1817,280.0,0.0,0.0,0.0,50.0,210.0,0.0,15.0,0.0
24661829,1829,300.0,0.0,0.0,0.0,15.0,220.0,60.0,0.0,0.0
24661830,1830,265.0,0.0,0.0,35.0,70.0,160.0,0.0,0.0,0.0
24661831,1831,190.0,0.0,0.0,20.0,100.0,70.0,0.0,0.0,0.0
24661832,1832,350.0,0.0,0.0,15.0,60.0,160.0,120.0,0.0,0.0
24661833,1833,370.0,0.0,5.0,10.0,35.0,270.0,55.0,0.0,0.0
24661835,1835,310.0,0.0,5.0,5.0,95.0,195.0,0.0,15.0,0.0
24661836,1836,165.0,0.0,0.0,0.0,0.0,160.0,0.0,5.0,0.0
24661837,1837,240.0,0.0,0.0,10.0,45.0,180.0,0.0,0.0,0.0
24661838,1838,355.0,0.0,0.0,0.0,70.0,265.0,0.0,10.0,0.0
24661839,1839,310.0,0.0,0.0,10.0,45.0,245.0,0.0,10.0,0.0
24661840,1840,175.0,0.0,0.0,15.0,35.0,125.0,0.0,0.0,0.0
24661895,1895,395.0,0.0,0.0,0.0,0.0,345.0,40.0,10.0,0.0
24661896,1896,300.0,0.0,0.0,0.0,0.0,155.0,145.0,0.0,0.0
24661897,1897,380.0,0.0,0.0,0.0,40.0,325.0,0.0,0.0,5.0
24661898,1898,300.0,0.0,5.0,15.0,65.0,210.0,0.0,5.0,0.0
24661899,1899,570.0,0.0,0.0,65.0,10.0,340.0,150.0,0.0,0.0
24661900,1900,335.0,0.0,0.0,0.0,30.0,290.0,0.0,5.0,0.0
24661901,1901,180.0,0.0,0.0,15.0,5.0,160.0,0.0,0.0,0.0
24661902,1902,345.0,0.0,0.0,20.0,80.0,240.0,10.0,0.0,0.0
24661903,1903,295.0,0.0,0.0,0.0,25.0,170.0,100.0,5.0,0.0
24661904,1904,265.0,0.0,0.0,5.0,10.0,250.0,0.0,0.0,0.0
24661905,1905,255.0,0.0,0.0,0.0,5.0,245.0,0.0,0.0,0.0
24661906,1906,240.0,0.0,0.0,5.0,50.0,190.0,0.0,5.0,0.0
24661907,1907,295.0,0.0,0.0,10.0,65.0,215.0,0.0,0.0,0.0
24661908,1908,400.0,0.0,0.0,0.0,30.0,365.0,0.0,0.0,0.0
24661909,1909,225.0,0.0,0.0,5.0,10.0,205.0,0.0,0.0,0.0
24661910,1910,225.0,5.0,5.0,10.0,30.0,180.0,5.0,0.0,0.0
24661912,1912,245.0,0.0,0.0,0.0,5.0,220.0,0.0,20.0,0.0
24661913,1913,280.0,0.0,0.0,0.0,0.0,275.0,0.0,0.0,0.0
