COL0,COL1,COL2,COL3,COL4
24661817,1817,10.0,55.0,310.0
24661829,1829,20.0,65.0,210.0
24661830,1830,0.0,25.0,290.0
24661831,1831,0.0,10.0,230.0
24661832,1832,10.0,30.0,325.0
24661833,1833,10.0,25.0,295.0
24661835,1835,15.0,70.0,300.0
24661836,1836,0.0,10.0,155.0
24661837,1837,10.0,30.0,280.0
24661838,1838,0.0,40.0,450.0
24661839,1839,20.0,30.0,355.0
24661840,1840,0.0,25.0,200.0
24661895,1895,10.0,55.0,450.0
24661896,1896,0.0,35.0,315.0
24661897,1897,0.0,40.0,385.0
24661898,1898,0.0,35.0,285.0
24661899,1899,20.0,25.0,555.0
24661900,1900,15.0,25.0,365.0
24661901,1901,0.0,15.0,280.0
24661902,1902,20.0,50.0,365.0
24661903,1903,30.0,20.0,245.0
24661904,1904,0.0,20.0,340.0
24661905,1905,0.0,20.0,325.0
24661906,1906,0.0,35.0,250.0
24661907,1907,25.0,30.0,360.0
24661908,1908,0.0,20.0,470.0
24661909,1909,0.0,30.0,265.0
24661910,1910,0.0,15.0,235.0
24661912,1912,0.0,40.0,365.0
24661913,1913,10.0,10.0,295.0
