COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24
24661817,75.0,220.0,0.0,50.0,240.0,10.0,100.0,105.0,60.0,15.0,275.0,20.0,195.0,55.0,0.0,10.0,10.0,0.0,0.0,10.0,245.0,45.0,40.0,230.0
24661829,60.0,245.0,0.0,35.0,265.0,15.0,195.0,75.0,25.0,0.0,295.0,10.0,150.0,85.0,45.0,15.0,0.0,0.0,10.0,0.0,290.0,15.0,25.0,275.0
24661830,115.0,135.0,0.0,35.0,215.0,0.0,80.0,75.0,65.0,30.0,245.0,0.0,210.0,15.0,10.0,15.0,0.0,0.0,0.0,0.0,220.0,30.0,0.0,235.0
24661831,95.0,110.0,0.0,30.0,180.0,0.0,70.0,70.0,45.0,15.0,205.0,0.0,180.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,15.0,0.0,195.0
24661832,100.0,235.0,0.0,40.0,295.0,50.0,130.0,85.0,60.0,10.0,330.0,0.0,185.0,105.0,15.0,20.0,0.0,0.0,0.0,10.0,295.0,40.0,50.0,255.0
24661833,90.0,270.0,0.0,145.0,220.0,20.0,240.0,70.0,30.0,10.0,345.0,15.0,135.0,110.0,25.0,65.0,0.0,10.0,0.0,10.0,350.0,15.0,20.0,320.0
24661835,100.0,225.0,0.0,55.0,265.0,25.0,120.0,115.0,45.0,15.0,305.0,20.0,210.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,290.0,30.0,45.0,270.0
24661836,55.0,95.0,0.0,55.0,95.0,0.0,65.0,55.0,25.0,0.0,140.0,10.0,80.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,130.0
24661837,85.0,165.0,0.0,55.0,185.0,15.0,75.0,100.0,45.0,10.0,245.0,0.0,200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,10.0,15.0,205.0
24661838,125.0,225.0,0.0,55.0,295.0,20.0,90.0,135.0,75.0,30.0,335.0,15.0,240.0,70.0,10.0,10.0,0.0,10.0,0.0,10.0,295.0,50.0,15.0,320.0
24661839,135.0,180.0,0.0,95.0,220.0,20.0,85.0,130.0,60.0,20.0,315.0,0.0,210.0,40.0,45.0,15.0,0.0,0.0,0.0,0.0,275.0,35.0,20.0,280.0
24661840,100.0,75.0,0.0,45.0,135.0,10.0,45.0,50.0,70.0,10.0,170.0,10.0,145.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,165.0,10.0,20.0,150.0
24661895,110.0,280.0,0.0,115.0,275.0,35.0,190.0,110.0,50.0,15.0,365.0,30.0,180.0,105.0,35.0,20.0,15.0,0.0,0.0,35.0,345.0,45.0,60.0,320.0
