COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24661817,66,1817,548.0,420.0,150.0,570.0,570.0,365.0,105.0,105.0
24661829,66,1829,482.0,395.0,95.0,490.0,490.0,325.0,115.0,45.0
24661830,66,1830,518.0,415.0,155.0,575.0,575.0,370.0,150.0,55.0
24661831,66,1831,414.0,325.0,90.0,420.0,420.0,275.0,65.0,85.0
24661832,66,1832,572.0,420.0,135.0,550.0,550.0,305.0,145.0,100.0
24661833,66,1833,598.0,385.0,170.0,560.0,560.0,300.0,145.0,110.0
24661835,66,1835,568.0,425.0,190.0,615.0,615.0,305.0,190.0,125.0
24661836,66,1836,325.0,170.0,80.0,250.0,250.0,115.0,95.0,45.0
24661837,66,1837,460.0,365.0,85.0,445.0,445.0,285.0,110.0,50.0
24661838,66,1838,740.0,580.0,195.0,775.0,775.0,445.0,165.0,165.0
24661839,66,1839,632.0,470.0,175.0,645.0,645.0,410.0,105.0,130.0
24661840,66,1840,350.0,350.0,50.0,395.0,395.0,275.0,95.0,25.0
24661895,66,1895,694.0,535.0,140.0,675.0,675.0,445.0,125.0,105.0
24661896,66,1896,498.0,355.0,145.0,495.0,495.0,285.0,120.0,90.0
24661897,66,1897,663.0,505.0,150.0,660.0,660.0,420.0,140.0,95.0
24661898,66,1898,509.0,390.0,100.0,495.0,495.0,305.0,130.0,55.0
24661899,66,1899,923.0,705.0,235.0,940.0,940.0,595.0,180.0,170.0
24661900,66,1900,609.0,480.0,155.0,630.0,630.0,360.0,165.0,105.0
24661901,66,1901,414.0,325.0,140.0,465.0,465.0,275.0,95.0,95.0
24661902,66,1902,677.0,530.0,105.0,635.0,635.0,485.0,100.0,55.0
24661903,66,1903,466.0,280.0,140.0,415.0,415.0,225.0,100.0,90.0
24661904,66,1904,469.0,400.0,85.0,490.0,490.0,355.0,85.0,45.0
24661905,66,1905,488.0,410.0,85.0,500.0,500.0,310.0,130.0,55.0
24661906,66,1906,466.0,345.0,100.0,445.0,445.0,285.0,95.0,70.0
24661907,66,1907,603.0,530.0,125.0,655.0,655.0,420.0,170.0,65.0
24661908,66,1908,757.0,570.0,175.0,745.0,745.0,470.0,160.0,115.0
24661909,66,1909,394.0,380.0,85.0,460.0,460.0,330.0,115.0,20.0
24661910,66,1910,453.0,390.0,40.0,435.0,435.0,360.0,45.0,25.0
24661912,66,1912,519.0,405.0,135.0,540.0,540.0,350.0,85.0,105.0
24661913,66,1913,531.0,415.0,60.0,475.0,475.0,350.0,75.0,45.0
