COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12
24661817,1817,25.0,65.0,110.0,80.0,35.0,40.0,30.0,25.0,10.0,5.0,35.0
24661829,1829,25.0,60.0,125.0,60.0,40.0,35.0,25.0,25.0,10.0,5.0,15.0
24661830,1830,30.0,40.0,65.0,60.0,55.0,30.0,35.0,30.0,15.0,25.0,55.0
24661831,1831,35.0,35.0,55.0,35.0,25.0,25.0,30.0,25.0,20.0,5.0,45.0
24661832,1832,25.0,65.0,90.0,85.0,60.0,40.0,30.0,25.0,15.0,10.0,45.0
24661833,1833,50.0,80.0,125.0,65.0,50.0,45.0,50.0,25.0,20.0,15.0,25.0
24661835,1835,55.0,75.0,125.0,50.0,50.0,30.0,25.0,25.0,5.0,10.0,35.0
24661836,1836,10.0,35.0,45.0,40.0,30.0,30.0,20.0,20.0,5.0,10.0,25.0
24661837,1837,30.0,40.0,70.0,60.0,35.0,35.0,30.0,20.0,10.0,10.0,45.0
24661838,1838,55.0,65.0,80.0,65.0,75.0,65.0,55.0,30.0,25.0,15.0,70.0
24661839,1839,55.0,80.0,115.0,45.0,40.0,40.0,45.0,25.0,25.0,15.0,45.0
24661840,1840,40.0,30.0,35.0,35.0,30.0,25.0,25.0,15.0,20.0,10.0,25.0
24661895,1895,45.0,60.0,95.0,100.0,80.0,50.0,50.0,30.0,25.0,20.0,40.0
24661896,1896,50.0,40.0,80.0,55.0,50.0,45.0,30.0,20.0,15.0,10.0,25.0
24661897,1897,35.0,60.0,105.0,80.0,75.0,55.0,45.0,35.0,15.0,20.0,40.0
24661898,1898,45.0,40.0,85.0,70.0,40.0,40.0,25.0,20.0,10.0,15.0,40.0
24661899,1899,85.0,95.0,120.0,110.0,110.0,80.0,60.0,35.0,30.0,15.0,60.0
24661900,1900,50.0,55.0,80.0,70.0,65.0,45.0,45.0,35.0,25.0,15.0,30.0
24661901,1901,30.0,30.0,45.0,55.0,35.0,25.0,25.0,20.0,15.0,15.0,30.0
24661902,1902,50.0,70.0,85.0,80.0,65.0,45.0,40.0,45.0,20.0,20.0,50.0
24661903,1903,30.0,45.0,85.0,80.0,50.0,30.0,10.0,15.0,10.0,0.0,30.0
24661904,1904,25.0,20.0,70.0,60.0,60.0,50.0,40.0,10.0,15.0,15.0,30.0
24661905,1905,40.0,35.0,60.0,50.0,60.0,40.0,30.0,20.0,15.0,30.0,35.0
24661906,1906,45.0,45.0,80.0,45.0,50.0,35.0,30.0,25.0,10.0,5.0,35.0
24661907,1907,45.0,45.0,75.0,65.0,55.0,50.0,40.0,30.0,20.0,20.0,55.0
24661908,1908,60.0,55.0,105.0,80.0,80.0,65.0,60.0,35.0,35.0,25.0,50.0
24661909,1909,25.0,30.0,60.0,50.0,45.0,40.0,25.0,15.0,15.0,10.0,30.0
24661910,1910,25.0,35.0,55.0,50.0,50.0,45.0,35.0,30.0,15.0,5.0,35.0
24661912,1912,40.0,50.0,80.0,65.0,50.0,45.0,30.0,30.0,15.0,15.0,20.0
24661913,1913,30.0,30.0,75.0,60.0,60.0,60.0,40.0,35.0,10.0,5.0,30.0
