GEO UID,DA name,Households by type / Total - Household type - 100% data / One-census-family households without additional persons,Households by type / Total - Household type - 100% data / Two-or-more-person non-census-family households,Households by type / Total - Household type - 100% data / One-person households,Households by type / Total - Household type - 100% data / One-census-family households without additional persons / Couple-family households / With children,Households by type / Total - Household type - 100% data / One-census-family households without additional persons / Couple-family households / Without children,Households by type / Total - Household type - 100% data / One-census-family households without additional persons / One-parent-family households,Households by type / Total - Household type - 100% data / Multigenerational households,Family characteristics / Total - Census families in private households by family size - 100% data / 2 persons,Family characteristics / Total - Census families in private households by family size - 100% data / 3 persons,Family characteristics / Total - Census families in private households by family size - 100% data / 4 persons,Family characteristics / Total - Census families in private households by family size - 100% data / 5 or more persons,da_code
24661817,1817,115.0,45.0,115.0,45.0,55.0,15.0,0.0,65.0,30.0,15.0,10.0,24661817
24661829,1829,95.0,15.0,185.0,25.0,50.0,15.0,0.0,65.0,10.0,20.0,0.0,24661829
24661830,1830,130.0,25.0,110.0,40.0,70.0,15.0,0.0,85.0,20.0,20.0,5.0,24661830
24661831,1831,90.0,20.0,80.0,40.0,35.0,15.0,0.0,50.0,15.0,25.0,10.0,24661831
24661832,1832,115.0,25.0,215.0,45.0,55.0,15.0,0.0,65.0,25.0,20.0,0.0,24661832
24661833,1833,115.0,35.0,220.0,30.0,70.0,15.0,0.0,85.0,20.0,15.0,0.0,24661833
24661835,1835,115.0,40.0,150.0,35.0,65.0,10.0,0.0,80.0,20.0,15.0,5.0,24661835
24661836,1836,80.0,15.0,65.0,30.0,40.0,10.0,0.0,50.0,25.0,10.0,0.0,24661836
24661837,1837,115.0,15.0,105.0,35.0,65.0,20.0,0.0,80.0,15.0,20.0,5.0,24661837
24661838,1838,170.0,45.0,130.0,70.0,70.0,30.0,0.0,100.0,35.0,25.0,15.0,24661838
24661839,1839,130.0,45.0,125.0,45.0,75.0,15.0,0.0,80.0,20.0,25.0,10.0,24661839
24661840,1840,90.0,15.0,80.0,30.0,50.0,10.0,0.0,55.0,10.0,20.0,5.0,24661840
24661895,1895,155.0,25.0,200.0,55.0,85.0,15.0,0.0,105.0,30.0,25.0,5.0,24661895
24661896,1896,100.0,15.0,185.0,35.0,50.0,10.0,0.0,60.0,10.0,20.0,10.0,24661896
24661897,1897,130.0,35.0,200.0,50.0,65.0,15.0,0.0,75.0,25.0,25.0,10.0,24661897
24661898,1898,115.0,10.0,175.0,35.0,60.0,10.0,0.0,70.0,15.0,25.0,5.0,24661898
24661899,1899,200.0,25.0,340.0,65.0,120.0,10.0,0.0,135.0,40.0,30.0,5.0,24661899
24661900,1900,145.0,25.0,160.0,55.0,75.0,15.0,0.0,90.0,30.0,25.0,5.0,24661900
24661901,1901,90.0,20.0,65.0,45.0,40.0,5.0,0.0,50.0,10.0,25.0,10.0,24661901
24661902,1902,145.0,35.0,155.0,70.0,65.0,15.0,0.0,75.0,35.0,30.0,10.0,24661902
24661903,1903,80.0,20.0,195.0,25.0,50.0,5.0,0.0,60.0,10.0,10.0,5.0,24661903
24661904,1904,120.0,20.0,125.0,25.0,85.0,10.0,0.0,95.0,15.0,10.0,0.0,24661904
24661905,1905,120.0,20.0,110.0,40.0,65.0,15.0,0.0,75.0,30.0,10.0,5.0,24661905
24661906,1906,90.0,35.0,110.0,35.0,45.0,10.0,0.0,60.0,15.0,20.0,5.0,24661906
24661907,1907,155.0,20.0,115.0,60.0,75.0,15.0,0.0,90.0,30.0,25.0,10.0,24661907
24661908,1908,200.0,25.0,170.0,60.0,110.0,25.0,0.0,130.0,35.0,25.0,5.0,24661908
24661909,1909,80.0,20.0,115.0,30.0,40.0,15.0,0.0,45.0,25.0,10.0,0.0,24661909
24661910,1910,110.0,30.0,90.0,40.0,55.0,15.0,0.0,65.0,25.0,15.0,5.0,24661910
24661912,1912,125.0,40.0,75.0,30.0,75.0,10.0,0.0,90.0,15.0,20.0,5.0,24661912
24661913,1913,130.0,15.0,135.0,35.0,65.0,25.0,0.0,80.0,25.0,20.0,5.0,24661913
