GEO UID,DA name,Labour - Total Sex / Total - Population aged 15 years and over by labour force status - 25% sample data ; Both sexes / In the labour force ; Both sexes / Employed ; Both sexes,Labour - Total Sex / Total - Population aged 15 years and over by labour force status - 25% sample data ; Both sexes / In the labour force ; Both sexes / Unemployed ; Both sexes,da_code
24661817,1817,320.0,35.0,24661817
24661829,1829,245.0,35.0,24661829
24661830,1830,310.0,30.0,24661830
24661831,1831,210.0,25.0,24661831
24661832,1832,340.0,30.0,24661832
24661833,1833,335.0,30.0,24661833
24661835,1835,315.0,40.0,24661835
24661836,1836,165.0,25.0,24661836
24661837,1837,280.0,30.0,24661837
24661838,1838,485.0,65.0,24661838
24661839,1839,385.0,35.0,24661839
24661840,1840,225.0,15.0,24661840
24661895,1895,460.0,45.0,24661895
24661896,1896,310.0,35.0,24661896
24661897,1897,380.0,30.0,24661897
24661898,1898,305.0,25.0,24661898
24661899,1899,575.0,50.0,24661899
24661900,1900,375.0,25.0,24661900
24661901,1901,275.0,30.0,24661901
24661902,1902,405.0,35.0,24661902
24661903,1903,310.0,15.0,24661903
24661904,1904,345.0,20.0,24661904
24661905,1905,335.0,25.0,24661905
24661906,1906,305.0,30.0,24661906
24661907,1907,365.0,20.0,24661907
24661908,1908,490.0,35.0,24661908
24661909,1909,255.0,50.0,24661909
24661910,1910,255.0,15.0,24661910
24661912,1912,370.0,70.0,24661912
24661913,1913,310.0,15.0,24661913
