area,unit,attribute,planned_route,selected_route,recommended_conditioning_json,planned_min_conditional_weight,observed_min_conditional_weight,downgraded_to_sparse
24661817,person,sex,joint_fit,joint_fit,[],272.0,272.0,False
24661817,person,age_group,joint_fit,joint_fit,[],273.0,273.0,False
24661817,household,household_type,joint_fit,joint_fit,[],280.0,280.0,False
24661817,household,household_size,joint_fit,joint_fit,[],280.0,280.0,False
24661817,person,education_level,joint_fit,joint_fit,[],254.0,254.0,False
24661817,person,labour_force_status,joint_fit,joint_fit,[],272.0,272.0,False
24661817,person,household_income,joint_fit,joint_fit,[],272.0,272.0,False
24661817,household,tenure,joint_fit,joint_fit,[],280.0,280.0,False
24661817,household,dwelling_type,joint_fit,joint_fit,[],280.0,280.0,False
24661817,person,citizenship_status,joint_fit,joint_fit,[],271.0,271.0,False
24661817,person,immigrant_status,joint_fit,joint_fit,[],271.0,271.0,False
24661817,person,commute_mode,joint_fit,joint_fit,[],21.0,21.0,False
24661817,person,commute_duration,joint_fit,joint_fit,[],138.0,138.0,False
24661817,household,bedrooms,joint_fit,joint_fit,[],280.0,280.0,False
24661817,household,period_built,joint_fit,joint_fit,[],280.0,280.0,False
24661817,household,dwelling_condition,joint_fit,joint_fit,[],280.0,280.0,False
24661817,household,core_housing_need,joint_fit,joint_fit,[],272.0,272.0,False
24661829,person,sex,joint_fit,joint_fit,[],288.0,288.0,False
24661829,person,age_group,joint_fit,joint_fit,[],288.0,288.0,False
24661829,household,household_type,joint_fit,joint_fit,[],300.0,300.0,False
24661829,household,household_size,joint_fit,joint_fit,[],300.0,300.0,False
24661829,person,education_level,joint_fit,joint_fit,[],264.0,264.0,False
24661829,person,labour_force_status,joint_fit,joint_fit,[],288.0,288.0,False
24661829,person,household_income,joint_fit,joint_fit,[],288.0,288.0,False
24661829,household,tenure,joint_fit,joint_fit,[],300.0,300.0,False
24661829,household,dwelling_type,joint_fit,joint_fit,[],300.0,300.0,False
24661829,person,citizenship_status,joint_fit,joint_fit,[],287.0,287.0,False
24661829,person,immigrant_status,joint_fit,joint_fit,[],287.0,287.0,False
24661829,person,commute_mode,joint_fit,joint_fit,[],21.0,21.0,False
24661829,person,commute_duration,joint_fit,joint_fit,[],158.0,158.0,False
24661829,household,bedrooms,joint_fit,joint_fit,[],300.0,300.0,False
24661829,household,period_built,joint_fit,joint_fit,[],299.0,299.0,False
24661829,household,dwelling_condition,joint_fit,joint_fit,[],300.0,300.0,False
24661829,household,core_housing_need,joint_fit,joint_fit,[],290.0,290.0,False
24661830,person,sex,joint_fit,joint_fit,[],255.0,255.0,False
24661830,person,age_group,joint_fit,joint_fit,[],255.0,255.0,False
24661830,household,household_type,joint_fit,joint_fit,[],265.0,265.0,False
24661830,household,household_size,joint_fit,joint_fit,[],265.0,265.0,False
24661830,person,education_level,joint_fit,joint_fit,[],238.0,238.0,False
24661830,person,labour_force_status,joint_fit,joint_fit,[],255.0,255.0,False
24661830,person,household_income,joint_fit,joint_fit,[],255.0,255.0,False
24661830,household,tenure,joint_fit,joint_fit,[],265.0,265.0,False
24661830,household,dwelling_type,joint_fit,joint_fit,[],265.0,265.0,False
24661830,person,citizenship_status,joint_fit,joint_fit,[],250.0,250.0,False
24661830,person,immigrant_status,joint_fit,joint_fit,[],250.0,250.0,False
24661830,person,commute_mode,joint_fit,joint_fit,[],17.0,17.0,False
24661830,person,commute_duration,joint_fit,joint_fit,[],135.0,135.0,False
24661830,household,bedrooms,joint_fit,joint_fit,[],265.0,265.0,False
24661830,household,period_built,joint_fit,joint_fit,[],265.0,265.0,False
24661830,household,dwelling_condition,joint_fit,joint_fit,[],265.0,265.0,False
24661830,household,core_housing_need,joint_fit,joint_fit,[],258.0,258.0,False
24661831,person,sex,joint_fit,joint_fit,[],183.0,183.0,False
24661831,person,age_group,joint_fit,joint_fit,[],184.0,184.0,False
24661831,household,household_type,joint_fit,joint_fit,[],190.0,190.0,False
24661831,household,household_size,joint_fit,joint_fit,[],190.0,190.0,False
24661831,person,education_level,joint_fit,joint_fit,[],173.0,173.0,False
24661831,person,labour_force_status,joint_fit,joint_fit,[],184.0,184.0,False
24661831,person,household_income,joint_fit,joint_fit,[],184.0,184.0,False
24661831,household,tenure,joint_fit,joint_fit,[],190.0,190.0,False
24661831,household,dwelling_type,joint_fit,joint_fit,[],190.0,190.0,False
24661831,person,citizenship_status,joint_fit,joint_fit,[],182.0,182.0,False
24661831,person,immigrant_status,joint_fit,joint_fit,[],182.0,182.0,False
24661831,person,commute_mode,joint_fit,joint_fit,[],18.0,18.0,False
24661831,person,commute_duration,joint_fit,joint_fit,[],95.0,95.0,False
24661831,household,bedrooms,joint_fit,joint_fit,[],190.0,190.0,False
24661831,household,period_built,joint_fit,joint_fit,[],190.0,190.0,False
24661831,household,dwelling_condition,joint_fit,joint_fit,[],190.0,190.0,False
24661831,household,core_housing_need,joint_fit,joint_fit,[],186.0,186.0,False
24661832,person,sex,joint_fit,joint_fit,[],341.0,341.0,False
24661832,person,age_group,joint_fit,joint_fit,[],342.0,342.0,False
24661832,household,household_type,joint_fit,joint_fit,[],350.0,350.0,False
24661832,household,household_size,joint_fit,joint_fit,[],350.0,350.0,False
24661832,person,education_level,joint_fit,joint_fit,[],324.0,324.0,False
24661832,person,labour_force_status,joint_fit,joint_fit,[],342.0,342.0,False
24661832,person,household_income,joint_fit,joint_fit,[],342.0,342.0,False
24661832,household,tenure,joint_fit,joint_fit,[],350.0,350.0,False
24661832,household,dwelling_type,joint_fit,joint_fit,[],350.0,350.0,False
24661832,person,citizenship_status,joint_fit,joint_fit,[],341.0,341.0,False
24661832,person,immigrant_status,joint_fit,joint_fit,[],341.0,341.0,False
24661832,person,commute_mode,joint_fit,joint_fit,[],23.0,23.0,False
24661832,person,commute_duration,joint_fit,joint_fit,[],163.0,163.0,False
24661832,household,bedrooms,joint_fit,joint_fit,[],350.0,350.0,False
24661832,household,period_built,joint_fit,joint_fit,[],350.0,350.0,False
24661832,household,dwelling_condition,joint_fit,joint_fit,[],350.0,350.0,False
24661832,household,core_housing_need,joint_fit,joint_fit,[],342.0,342.0,False
24661833,person,sex,joint_fit,joint_fit,[],362.0,362.0,False
24661833,person,age_group,joint_fit,joint_fit,[],362.0,362.0,False
24661833,household,household_type,joint_fit,joint_fit,[],370.0,370.0,False
24661833,household,household_size,joint_fit,joint_fit,[],370.0,370.0,False
24661833,person,education_level,joint_fit,joint_fit,[],341.0,341.0,False
24661833,person,labour_force_status,joint_fit,joint_fit,[],362.0,362.0,False
24661833,person,household_income,joint_fit,joint_fit,[],362.0,362.0,False
24661833,household,tenure,joint_fit,joint_fit,[],370.0,370.0,False
24661833,household,dwelling_type,joint_fit,joint_fit,[],370.0,370.0,False
24661833,person,citizenship_status,joint_fit,joint_fit,[],360.0,360.0,False
24661833,person,immigrant_status,joint_fit,joint_fit,[],360.0,360.0,False
24661833,person,commute_mode,joint_fit,joint_fit,[],25.0,25.0,False
24661833,person,commute_duration,joint_fit,joint_fit,[],178.0,178.0,False
24661833,household,bedrooms,joint_fit,joint_fit,[],370.0,370.0,False
24661833,household,period_built,joint_fit,joint_fit,[],370.0,370.0,False
24661833,household,dwelling_condition,joint_fit,joint_fit,[],370.0,370.0,False
24661833,household,core_housing_need,joint_fit,joint_fit,[],359.0,359.0,False
24661835,person,sex,joint_fit,joint_fit,[],301.0,301.0,False
24661835,person,age_group,joint_fit,joint_fit,[],301.0,301.0,False
24661835,household,household_type,joint_fit,joint_fit,[],310.0,310.0,False
24661835,household,household_size,joint_fit,joint_fit,[],310.0,310.0,False
24661835,person,education_level,joint_fit,joint_fit,[],276.0,276.0,False
24661835,person,labour_force_status,joint_fit,joint_fit,[],300.0,300.0,False
24661835,person,household_income,joint_fit,joint_fit,[],300.0,300.0,False
24661835,household,tenure,joint_fit,joint_fit,[],310.0,310.0,False
24661835,household,dwelling_type,joint_fit,joint_fit,[],310.0,310.0,False
24661835,person,citizenship_status,joint_fit,joint_fit,[],300.0,300.0,False
24661835,person,immigrant_status,joint_fit,joint_fit,[],300.0,300.0,False
24661835,person,commute_mode,joint_fit,joint_fit,[],20.0,20.0,False
24661835,person,commute_duration,joint_fit,joint_fit,[],161.0,161.0,False
24661835,household,bedrooms,joint_fit,joint_fit,[],310.0,310.0,False
24661835,household,period_built,joint_fit,joint_fit,[],310.0,310.0,False
24661835,household,dwelling_condition,joint_fit,joint_fit,[],310.0,310.0,False
24661835,household,core_housing_need,joint_fit,joint_fit,[],305.0,305.0,False
24661836,person,sex,joint_fit,joint_fit,[],160.0,160.0,False
24661836,person,age_group,joint_fit,joint_fit,[],161.0,161.0,False
24661836,household,household_type,joint_fit,joint_fit,[],165.0,165.0,False
24661836,household,household_size,joint_fit,joint_fit,[],165.0,165.0,False
24661836,person,education_level,joint_fit,joint_fit,[],153.0,153.0,False
24661836,person,labour_force_status,joint_fit,joint_fit,[],161.0,161.0,False
24661836,person,household_income,joint_fit,joint_fit,[],161.0,161.0,False
24661836,household,tenure,joint_fit,joint_fit,[],165.0,165.0,False
24661836,household,dwelling_type,joint_fit,joint_fit,[],165.0,165.0,False
24661836,person,citizenship_status,joint_fit,joint_fit,[],161.0,161.0,False
24661836,person,immigrant_status,joint_fit,joint_fit,[],161.0,161.0,False
24661836,person,commute_mode,joint_fit,joint_fit,[],15.0,15.0,False
24661836,person,commute_duration,joint_fit,joint_fit,[],80.0,80.0,False
24661836,household,bedrooms,joint_fit,joint_fit,[],165.0,165.0,False
24661836,household,period_built,joint_fit,joint_fit,[],164.0,164.0,False
24661836,household,dwelling_condition,joint_fit,joint_fit,[],165.0,165.0,False
24661836,household,core_housing_need,joint_fit,joint_fit,[],164.0,164.0,False
24661837,person,sex,joint_fit,joint_fit,[],231.0,231.0,False
24661837,person,age_group,joint_fit,joint_fit,[],231.0,231.0,False
24661837,household,household_type,joint_fit,joint_fit,[],240.0,240.0,False
24661837,household,household_size,joint_fit,joint_fit,[],240.0,240.0,False
24661837,person,education_level,joint_fit,joint_fit,[],219.0,219.0,False
24661837,person,labour_force_status,joint_fit,joint_fit,[],230.0,230.0,False
24661837,person,household_income,joint_fit,joint_fit,[],230.0,230.0,False
24661837,household,tenure,joint_fit,joint_fit,[],240.0,240.0,False
24661837,household,dwelling_type,joint_fit,joint_fit,[],240.0,240.0,False
24661837,person,citizenship_status,joint_fit,joint_fit,[],231.0,231.0,False
24661837,person,immigrant_status,joint_fit,joint_fit,[],231.0,231.0,False
24661837,person,commute_mode,joint_fit,joint_fit,[],9.0,9.0,False
24661837,person,commute_duration,joint_fit,joint_fit,[],108.0,108.0,False
24661837,household,bedrooms,joint_fit,joint_fit,[],240.0,240.0,False
24661837,household,period_built,joint_fit,joint_fit,[],240.0,240.0,False
24661837,household,dwelling_condition,joint_fit,joint_fit,[],240.0,240.0,False
24661837,household,core_housing_need,joint_fit,joint_fit,[],235.0,235.0,False
24661838,person,sex,joint_fit,joint_fit,[],344.0,344.0,False
24661838,person,age_group,joint_fit,joint_fit,[],344.0,344.0,False
24661838,household,household_type,joint_fit,joint_fit,[],355.0,355.0,False
24661838,household,household_size,joint_fit,joint_fit,[],355.0,355.0,False
24661838,person,education_level,joint_fit,joint_fit,[],320.0,320.0,False
24661838,person,labour_force_status,joint_fit,joint_fit,[],344.0,344.0,False
24661838,person,household_income,joint_fit,joint_fit,[],344.0,344.0,False
24661838,household,tenure,joint_fit,joint_fit,[],355.0,355.0,False
24661838,household,dwelling_type,joint_fit,joint_fit,[],355.0,355.0,False
24661838,person,citizenship_status,joint_fit,joint_fit,[],344.0,344.0,False
24661838,person,immigrant_status,joint_fit,joint_fit,[],344.0,344.0,False
