unit,attribute,category,reference_count,seed_count,reference_share,seed_share,abs_pp_diff,target_provenance,smoothing_mode
person,sex,female,250.0,7792.0,0.4672897196261682,0.5012221793387367,3.3932459712568477,direct_da,direct
person,sex,male,285.0,7754.0,0.5327102803738317,0.49877782066126336,3.393245971256836,direct_da,direct
person,age_group,0_to_4,20.0,1298.0,0.037383177570093455,0.08349414640421973,4.611096883412627,direct_da,direct
person,age_group,5_to_14,45.0,1377.0,0.08411214953271028,0.08857583944423003,0.44636899115197554,direct_da,direct
person,age_group,15_to_24,65.0,2105.0,0.12149532710280374,0.13540460568635018,1.3909278583546445,direct_da,direct
person,age_group,25_to_34,165.0,4423.0,0.308411214953271,0.2845104850122218,2.3900729941049192,direct_da,direct
person,age_group,35_to_39,50.0,1502.0,0.09345794392523364,0.09661649298855012,0.31585490633164737,direct_da,direct
person,age_group,40_to_44,40.0,1368.0,0.07476635514018691,0.08799691238903898,1.3230557248852068,direct_da,direct
person,age_group,45_to_49,35.0,865.0,0.06542056074766354,0.05564132252669497,0.9779238220968572,direct_da,direct
person,age_group,50_to_54,35.0,1009.0,0.06542056074766354,0.06490415540975171,0.051640533791183496,direct_da,direct
person,age_group,55_to_59,20.0,958.0,0.037383177570093455,0.06162356876366911,2.4240391193575657,direct_da,direct
person,age_group,60_to_64,20.0,641.0,0.037383177570093455,0.04123247137527338,0.38492938051799264,direct_da,direct
person,age_group,65_to_69,10.0,0.0,0.018691588785046728,0.0,1.8691588785046727,direct_da,direct
person,age_group,70_to_74,10.0,0.0,0.018691588785046728,0.0,1.8691588785046727,direct_da,direct
person,age_group,75_to_79,10.0,0.0,0.018691588785046728,0.0,1.8691588785046727,direct_da,direct
person,age_group,80_to_84,5.0,0.0,0.009345794392523364,0.0,0.9345794392523363,direct_da,direct
person,age_group,85_plus,5.0,0.0,0.009345794392523364,0.0,0.9345794392523363,direct_da,direct
household,household_type,couple_with_children,45.0,1285.0,0.16363636363636364,0.14914113277623026,1.449523086013338,direct_da,direct
household,household_type,couple_without_children,55.0,1928.0,0.2,0.22376973073351902,2.376973073351901,direct_da,direct
household,household_type,one_parent,15.0,415.0,0.05454545454545454,0.04816620241411328,0.6379252131341266,direct_da,direct
household,household_type,one_person,115.0,4401.0,0.41818181818181815,0.5107938718662952,9.261205368447706,direct_da,direct
household,household_type,other,45.0,587.0,0.16363636363636364,0.06812906220984215,9.55073014265215,direct_da,direct
household,household_size,1,115.0,4401.0,0.4107142857142857,0.5107938718662952,10.007958615200952,direct_da,direct
household,household_size,2,80.0,2597.0,0.2857142857142857,0.30141597028783657,1.5701684573550867,direct_da,direct
household,household_size,3,42.0,802.0,0.15,0.09308263695450325,5.691736304549674,direct_da,direct
household,household_size,4,23.0,596.0,0.08214285714285714,0.06917363045496751,1.2969226687889635,direct_da,direct
household,household_size,5plus,20.0,220.0,0.07142857142857142,0.0255338904363974,4.589468099217402,direct_da,direct
person,education_level,no_certificate_or_diploma,10.0,346.0,0.02666666666666667,0.032138212892439164,0.5471546225772496,direct_da,direct
person,education_level,high_school_or_equivalent,55.0,1196.0,0.14666666666666667,0.1110904699981423,3.5576196668524367,direct_da,direct
person,education_level,postsecondary_certificate_diploma_or_degree,310.0,9224.0,0.8266666666666667,0.8567713171094186,3.01046504427519,direct_da,direct
person,labour_force_status,employed,320.0,9010.0,0.6956521739130435,0.7000233082122601,0.437113429921665,direct_da,direct
person,labour_force_status,unemployed,35.0,1039.0,0.07608695652173914,0.08072410846088104,0.4637151939141909,direct_da,direct
person,labour_force_status,not_in_labour_force,105.0,2822.0,0.22826086956521738,0.21925258332685882,0.9008286238358559,direct_da,direct
person,household_income,lt_20k,90.0,2177.0,0.1956521739130435,0.16913992696760158,2.651224694544191,direct_da,direct
person,household_income,20k_to_59k,265.0,7248.0,0.5760869565217391,0.5631264082044907,1.2960548317248466,direct_da,direct
person,household_income,60k_to_99k,70.0,2499.0,0.15217391304347827,0.1941574081267967,4.198349508331842,direct_da,direct
person,household_income,100k_plus,35.0,947.0,0.07608695652173914,0.07357625670111102,0.2510699820628112,direct_da,direct
household,tenure,owner,75.0,2381.0,0.2542372881355932,0.2763463324048282,2.210904426923499,direct_da,direct
household,tenure,renter_or_band,220.0,6235.0,0.7457627118644068,0.7236536675951718,2.210904426923499,direct_da,direct
household,dwelling_type,single_detached_house,0.0,7.0,0.0,0.0008127249506559852,0.08127249506559851,direct_da,direct
household,dwelling_type,apartment,260.0,8157.0,0.9454545454545454,0.9470567746429815,0.16022291884361106,direct_da,direct
household,dwelling_type,other_dwelling,15.0,449.0,0.05454545454545454,0.052130500406362475,0.2414954139092068,direct_da,direct
person,citizenship_status,canadian_citizen,420.0,12751.0,0.7368421052631579,0.8270740092106117,9.023190394745384,direct_da,direct
person,citizenship_status,not_canadian_citizen,150.0,2666.0,0.2631578947368421,0.17292599078938833,9.023190394745376,direct_da,direct
person,immigrant_status,non_immigrant,365.0,10620.0,0.6347826086956522,0.688849970811442,5.406736211578977,direct_da,direct
person,immigrant_status,immigrant,105.0,3273.0,0.1826086956521739,0.21229811247324382,2.9689416821069905,direct_da,direct
person,immigrant_status,non_permanent_resident,105.0,1524.0,0.1826086956521739,0.09885191671531426,8.375677893685966,direct_da,direct
person,commute_mode,private_vehicle,85.0,0.0,0.4358974358974359,0.0,43.58974358974359,direct_da,direct
person,commute_mode,public_transit,60.0,1556.0,0.3076923076923077,0.9835651074589128,67.58727997666051,direct_da,direct
person,commute_mode,active_transport,50.0,0.0,0.2564102564102564,0.0,25.64102564102564,direct_da,direct
person,commute_mode,other_method,0.0,26.0,0.0,0.01643489254108723,1.643489254108723,direct_da,direct
person,commute_duration,lt_15_min,50.0,1397.0,0.25,0.24448722436121806,0.5512775638781942,direct_da,direct
person,commute_duration,15_to_29_min,60.0,2281.0,0.3,0.3991949597479874,9.919495974798743,direct_da,direct
person,commute_duration,30_to_44_min,60.0,1678.0,0.3,0.2936646832341617,0.6335316765838261,direct_da,direct
person,commute_duration,45_to_59_min,15.0,358.0,0.075,0.06265313265663283,1.2346867343367165,direct_da,direct
person,commute_duration,60_plus_min,15.0,0.0,0.075,0.0,7.5,direct_da,direct
