unit,attribute,control_tier,workflow_role,reference_available,reference_source,reference_total,census_available,census_source,census_total,seed_total,seed_to_reference_ratio,seed_to_census_ratio,n_categories,tvd,mae_pp,rmse_pp,max_abs_pp,target_provenance,smoothing_mode,raw_target_total,effective_target_total,donor_support_mass,fit_error
person,sex,tier_1,joint_fit,True,smoothed_direct_da,535.0,True,smoothed_direct_da,535.0,15546.0,29.057943925233644,29.057943925233644,2,0.03393245971256842,3.393245971256842,3.393245971256842,3.3932459712568477,direct_da,direct,535.0,535.0,272.0,0.0984124404599668
person,age_group,tier_1,joint_fit,True,smoothed_direct_da,535.0,True,smoothed_direct_da,535.0,15546.0,29.057943925233644,29.057943925233644,15,0.10896272864011657,1.452836381868221,1.828844990047419,4.611096883412627,direct_da,direct,535.0,535.0,273.0,0.29804121799545474
household,household_type,tier_1,joint_fit,True,smoothed_direct_da,275.0,True,smoothed_direct_da,275.0,8616.0,31.330909090909092,31.330909090909092,5,0.1163817844179961,4.655271376719844,6.085136611123974,9.55073014265215,direct_da,direct,275.0,275.0,280.0,0.06954353801688283
household,household_size,tier_1,joint_fit,True,smoothed_direct_da,280.0,True,smoothed_direct_da,280.0,8616.0,30.771428571428572,30.771428571428572,5,0.1157812707255604,4.631250829022416,5.617219109686384,10.007958615200952,direct_da,direct,280.0,280.0,280.0,0.04181421122746127
person,education_level,tier_2,joint_fit,True,smoothed_direct_da,375.0,True,smoothed_direct_da,375.0,10766.0,28.709333333333333,28.709333333333333,3,0.03557619666852438,2.371746444568292,2.7091779600576085,3.5576196668524367,direct_da,direct,375.0,375.0,254.0,0.2130011576988504
person,labour_force_status,tier_2,joint_fit,True,smoothed_direct_da,460.0,True,smoothed_direct_da,460.0,12871.0,27.980434782608697,27.980434782608697,3,0.00900828623835856,0.6005524158905706,0.6370746008662722,0.9008286238358559,direct_da,direct,460.0,460.0,272.0,0.17983931011187845
person,household_income,tier_2,joint_fit,True,smoothed_direct_da,460.0,True,smoothed_direct_da,460.0,12871.0,27.980434782608697,27.980434782608697,4,0.04198349508331845,2.0991747541659227,2.568945563738238,4.198349508331842,direct_da,direct,460.0,460.0,272.0,0.1497224871406466
household,tenure,tier_2,joint_fit,True,smoothed_direct_da,295.0,True,smoothed_direct_da,295.0,8616.0,29.20677966101695,29.20677966101695,2,0.02210904426923499,2.210904426923499,2.210904426923499,2.210904426923499,direct_da,direct,295.0,295.0,280.0,0.057798067572990205
household,dwelling_type,tier_2,joint_fit,True,smoothed_direct_da,275.0,True,smoothed_direct_da,275.0,8613.0,31.32,31.32,3,0.002414954139092082,0.16099694260613878,0.17377824673621,0.2414954139092068,direct_da,direct,275.0,275.0,280.0,0.024063159900976266
person,citizenship_status,tier_3,joint_fit,True,smoothed_direct_da,570.0,True,smoothed_direct_da,570.0,15417.0,27.04736842105263,27.04736842105263,2,0.0902319039474538,9.023190394745379,9.023190394745379,9.023190394745384,direct_da,direct,570.0,570.0,271.0,0.13536916353668108
person,immigrant_status,tier_3,joint_fit,True,smoothed_direct_da,575.0,True,smoothed_direct_da,575.0,15417.0,26.812173913043477,26.812173913043477,3,0.08375677893685966,5.583785262457311,6.005536094641661,8.375677893685966,direct_da,direct,575.0,575.0,271.0,0.10387760340359378
person,commute_mode,tier_3,joint_fit,True,smoothed_direct_da,195.0,True,smoothed_direct_da,195.0,1582.0,8.112820512820512,8.112820512820512,4,0.6923076923076924,34.61538461538462,42.21453959749885,67.58727997666051,direct_da,direct,195.0,195.0,21.0,0.7537827414516197
person,commute_duration,tier_3,joint_fit,True,smoothed_direct_da,200.0,True,smoothed_direct_da,200.0,5714.0,28.57,28.57,5,0.0991949597479874,3.9677983899194955,5.601359139774312,9.919495974798743,direct_da,direct,200.0,200.0,138.0,0.24059469883882087
household,bedrooms,tier_3,joint_fit,True,smoothed_direct_da,280.0,True,smoothed_direct_da,280.0,8616.0,30.771428571428572,30.771428571428572,5,0.05244395808462661,2.0977583233850643,2.7371193739877158,5.244395808462659,direct_da,direct,280.0,280.0,280.0,0.05250862927339466
household,period_built,tier_3,joint_fit,True,smoothed_direct_da,540.0,True,smoothed_direct_da,540.0,8616.0,15.955555555555556,15.955555555555556,11,0.2021561951924069,3.675567185316489,4.958874824770623,10.832559579077683,direct_da,direct,540.0,540.0,280.0,0.5163961109218553
