attribute,unit,workflow_role,assignment_route,support_class,control_tier,target_source,target_provenance,smoothing_mode,effective_target_total,raw_target_total,fit_error,min_category_weight,min_conditional_weight
sex,person,joint_fit,joint_fit,joint_fit,tier_1,age_sex_core,planned,borrow_and_smooth,,,,,
age_group,person,joint_fit,joint_fit,joint_fit,tier_1,age_sex_core,planned,borrow_and_smooth,,,,,
household_type,household,joint_fit,joint_fit,joint_fit,tier_1,household_type_size_detailed,planned,borrow_and_smooth,,,,,
household_size,household,joint_fit,joint_fit,joint_fit,tier_1,household_type_size_detailed,planned,borrow_and_smooth,,,,,
education_level,person,joint_fit,joint_fit,joint_fit,tier_2,education_detailed,planned,borrow_and_smooth,,,,,
labour_force_status,person,joint_fit,joint_fit,joint_fit,tier_2,labour_detailed,planned,borrow_and_smooth,,,,,
household_income,person,joint_fit,joint_fit,joint_fit,tier_2,income_detailed,planned,borrow_and_smooth,,,,,
tenure,household,joint_fit,joint_fit,joint_fit,tier_2,housing,planned,borrow_and_smooth,,,,,
dwelling_type,household,joint_fit,joint_fit,joint_fit,tier_2,dwelling_characteristics,planned,borrow_and_smooth,,,,,
citizenship_status,person,joint_fit,joint_fit,joint_fit,tier_3,immigration_citizenship,planned,borrow_and_smooth,,,,,
immigrant_status,person,joint_fit,joint_fit,joint_fit,tier_3,immigration_citizenship,planned,borrow_and_smooth,,,,,
commute_mode,person,joint_fit,joint_fit,joint_fit,tier_3,commute,planned,borrow_and_smooth,,,,,
commute_duration,person,joint_fit,joint_fit,joint_fit,tier_3,commute,planned,borrow_and_smooth,,,,,
bedrooms,household,joint_fit,joint_fit,joint_fit,tier_3,housing,planned,borrow_and_smooth,,,,,
period_built,household,joint_fit,joint_fit,joint_fit,tier_3,housing,planned,borrow_and_smooth,,,,,
dwelling_condition,household,joint_fit,joint_fit,joint_fit,tier_3,housing,planned,borrow_and_smooth,,,,,
core_housing_need,household,joint_fit,joint_fit,joint_fit,tier_3,housing,planned,borrow_and_smooth,,,,,
