GEO UID,CD code,DA name,"Population and dwelling counts / Population, 2021",Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 0 to 14 years ; Males / 0 to 4 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 0 to 14 years ; Males / 5 to 9 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 0 to 14 years ; Males / 10 to 14 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 15 to 19 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 20 to 24 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 25 to 29 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 30 to 34 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 35 to 39 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 40 to 44 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 45 to 49 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 50 to 54 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 55 to 59 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 15 to 64 years ; Males / 60 to 64 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 65 years and over ; Males / 65 to 69 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 65 years and over ; Males / 70 to 74 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 65 years and over ; Males / 75 to 79 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 65 years and over ; Males / 80 to 84 years ; Males,Age & Sex - Males / Total - Age groups of the population - 100% data ; Males / 65 years and over ; Males / 85 years and over ; Males,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 0 to 14 years ; Females / 0 to 4 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 0 to 14 years ; Females / 5 to 9 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 0 to 14 years ; Females / 10 to 14 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 15 to 19 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 20 to 24 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 25 to 29 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 30 to 34 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 35 to 39 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 40 to 44 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 45 to 49 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 50 to 54 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 55 to 59 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 15 to 64 years ; Females / 60 to 64 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 65 years and over ; Females / 65 to 69 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 65 years and over ; Females / 70 to 74 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 65 years and over ; Females / 75 to 79 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 65 years and over ; Females / 80 to 84 years ; Females,Age & Sex - Females / Total - Age groups of the population - 100% data ; Females / 65 years and over ; Females / 85 years and over ; Females,Immigration - Total Sex / Total - Citizenship for the population in private households - 25% sample data ; Both sexes / Canadian citizens ; Both sexes,Immigration - Total Sex / Total - Citizenship for the population in private households - 25% sample data ; Both sexes / Not Canadian citizens ; Both sexes,da_code
24661817,66,1817,548.0,5.0,10.0,20.0,10.0,20.0,45.0,40.0,30.0,20.0,25.0,20.0,15.0,10.0,5.0,5.0,5.0,0.0,0.0,15.0,10.0,5.0,5.0,30.0,40.0,40.0,20.0,20.0,10.0,15.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,420.0,150.0,24661817
24661829,66,1829,482.0,10.0,10.0,0.0,5.0,25.0,30.0,40.0,25.0,15.0,10.0,10.0,10.0,10.0,15.0,15.0,5.0,5.0,5.0,10.0,10.0,10.0,0.0,20.0,30.0,25.0,20.0,20.0,10.0,5.0,10.0,10.0,10.0,15.0,5.0,10.0,10.0,395.0,95.0,24661829
24661830,66,1830,518.0,10.0,10.0,5.0,10.0,20.0,25.0,25.0,30.0,25.0,20.0,15.0,15.0,15.0,15.0,5.0,5.0,0.0,0.0,15.0,15.0,15.0,10.0,30.0,40.0,25.0,25.0,25.0,10.0,10.0,10.0,5.0,20.0,5.0,10.0,5.0,5.0,415.0,155.0,24661830
24661831,66,1831,414.0,5.0,15.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,0.0,0.0,0.0,10.0,15.0,5.0,15.0,20.0,20.0,25.0,15.0,20.0,15.0,15.0,10.0,10.0,10.0,5.0,0.0,5.0,0.0,325.0,90.0,24661831
24661832,66,1832,572.0,15.0,10.0,5.0,10.0,25.0,40.0,35.0,35.0,20.0,20.0,15.0,25.0,10.0,5.0,10.0,5.0,0.0,5.0,15.0,15.0,15.0,5.0,25.0,45.0,40.0,30.0,30.0,15.0,15.0,10.0,10.0,10.0,5.0,5.0,0.0,5.0,420.0,135.0,24661832
24661833,66,1833,598.0,5.0,15.0,10.0,10.0,25.0,40.0,55.0,30.0,25.0,15.0,10.0,15.0,15.0,15.0,15.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,40.0,55.0,45.0,30.0,20.0,10.0,5.0,15.0,15.0,15.0,10.0,5.0,0.0,10.0,385.0,170.0,24661833
24661835,66,1835,568.0,10.0,15.0,10.0,10.0,30.0,45.0,50.0,25.0,25.0,20.0,15.0,10.0,10.0,15.0,10.0,10.0,5.0,0.0,10.0,10.0,15.0,5.0,35.0,45.0,35.0,25.0,15.0,15.0,10.0,10.0,10.0,10.0,15.0,10.0,0.0,5.0,425.0,190.0,24661835
24661836,66,1836,325.0,5.0,10.0,5.0,5.0,15.0,15.0,20.0,10.0,15.0,15.0,5.0,15.0,15.0,0.0,10.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,10.0,20.0,20.0,15.0,20.0,5.0,5.0,15.0,5.0,10.0,5.0,10.0,0.0,0.0,170.0,80.0,24661836
24661837,66,1837,460.0,10.0,10.0,5.0,5.0,10.0,25.0,25.0,10.0,15.0,15.0,20.0,15.0,15.0,10.0,5.0,10.0,0.0,5.0,10.0,10.0,10.0,10.0,15.0,30.0,20.0,20.0,25.0,10.0,15.0,15.0,10.0,20.0,10.0,10.0,0.0,5.0,365.0,85.0,24661837
24661838,66,1838,740.0,20.0,20.0,20.0,15.0,25.0,55.0,55.0,45.0,30.0,30.0,20.0,15.0,10.0,10.0,5.0,5.0,0.0,0.0,15.0,20.0,20.0,15.0,40.0,65.0,40.0,35.0,30.0,20.0,20.0,20.0,10.0,10.0,0.0,0.0,5.0,0.0,580.0,195.0,24661838
24661839,66,1839,632.0,5.0,20.0,15.0,20.0,45.0,45.0,35.0,30.0,30.0,10.0,20.0,20.0,15.0,10.0,20.0,5.0,0.0,0.0,10.0,15.0,15.0,10.0,40.0,45.0,25.0,25.0,25.0,15.0,10.0,10.0,20.0,15.0,10.0,0.0,0.0,0.0,470.0,175.0,24661839
24661840,66,1840,350.0,5.0,10.0,10.0,5.0,10.0,10.0,15.0,20.0,10.0,15.0,15.0,20.0,10.0,15.0,10.0,5.0,0.0,0.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,10.0,10.0,5.0,5.0,10.0,5.0,0.0,0.0,350.0,50.0,24661840
