GEO UID,Housing - Total Sex / Total - Private households by tenure - 25% sample data / Owner,Housing - Total Sex / Total - Private households by tenure - 25% sample data / Renter,"Housing - Total Sex / Total - Private households by tenure - 25% sample data / Dwelling provided by the local government, First Nation or Indian band",Housing - Total Sex / Total - Occupied private dwellings by condominium status - 25% sample data / Condominium,Housing - Total Sex / Total - Occupied private dwellings by condominium status - 25% sample data / Not condominium,Housing - Total Sex / Total - Occupied private dwellings by number of bedrooms - 25% sample data / No bedrooms,Housing - Total Sex / Total - Occupied private dwellings by number of bedrooms - 25% sample data / 1 bedroom,Housing - Total Sex / Total - Occupied private dwellings by number of bedrooms - 25% sample data / 2 bedrooms,Housing - Total Sex / Total - Occupied private dwellings by number of bedrooms - 25% sample data / 3 bedrooms,Housing - Total Sex / Total - Occupied private dwellings by number of bedrooms - 25% sample data / 4 or more bedrooms,Housing - Total Sex / Total - Private households by housing suitability - 25% sample data / Suitable,Housing - Total Sex / Total - Private households by housing suitability - 25% sample data / Not suitable,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 1960 or before,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 1961 to 1980,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 1981 to 1990,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 1991 to 2000,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 2001 to 2005,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 2006 to 2010,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 2011 to 2015,Housing - Total Sex / Total - Occupied private dwellings by period of construction - 25% sample data / 2016 to 2021,Housing - Total Sex / Total - Occupied private dwellings by dwelling condition - 25% sample data / Only regular maintenance and minor repairs needed,Housing - Total Sex / Total - Occupied private dwellings by dwelling condition - 25% sample data / Major repairs needed,"Housing - Total Sex / Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data / In core need","Housing - Total Sex / Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data / Not in core need",da_code
24661817,75.0,220.0,0.0,50.0,240.0,10.0,100.0,105.0,60.0,15.0,275.0,20.0,195.0,55.0,0.0,10.0,10.0,0.0,0.0,10.0,245.0,45.0,40.0,230.0,24661817
24661829,60.0,245.0,0.0,35.0,265.0,15.0,195.0,75.0,25.0,0.0,295.0,10.0,150.0,85.0,45.0,15.0,0.0,0.0,10.0,0.0,290.0,15.0,25.0,275.0,24661829
24661830,115.0,135.0,0.0,35.0,215.0,0.0,80.0,75.0,65.0,30.0,245.0,0.0,210.0,15.0,10.0,15.0,0.0,0.0,0.0,0.0,220.0,30.0,0.0,235.0,24661830
24661831,95.0,110.0,0.0,30.0,180.0,0.0,70.0,70.0,45.0,15.0,205.0,0.0,180.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,15.0,0.0,195.0,24661831
24661832,100.0,235.0,0.0,40.0,295.0,50.0,130.0,85.0,60.0,10.0,330.0,0.0,185.0,105.0,15.0,20.0,0.0,0.0,0.0,10.0,295.0,40.0,50.0,255.0,24661832
24661833,90.0,270.0,0.0,145.0,220.0,20.0,240.0,70.0,30.0,10.0,345.0,15.0,135.0,110.0,25.0,65.0,0.0,10.0,0.0,10.0,350.0,15.0,20.0,320.0,24661833
24661835,100.0,225.0,0.0,55.0,265.0,25.0,120.0,115.0,45.0,15.0,305.0,20.0,210.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,290.0,30.0,45.0,270.0,24661835
24661836,55.0,95.0,0.0,55.0,95.0,0.0,65.0,55.0,25.0,0.0,140.0,10.0,80.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,130.0,24661836
24661837,85.0,165.0,0.0,55.0,185.0,15.0,75.0,100.0,45.0,10.0,245.0,0.0,200.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,10.0,15.0,205.0,24661837
24661838,125.0,225.0,0.0,55.0,295.0,20.0,90.0,135.0,75.0,30.0,335.0,15.0,240.0,70.0,10.0,10.0,0.0,10.0,0.0,10.0,295.0,50.0,15.0,320.0,24661838
24661839,135.0,180.0,0.0,95.0,220.0,20.0,85.0,130.0,60.0,20.0,315.0,0.0,210.0,40.0,45.0,15.0,0.0,0.0,0.0,0.0,275.0,35.0,20.0,280.0,24661839
24661840,100.0,75.0,0.0,45.0,135.0,10.0,45.0,50.0,70.0,10.0,170.0,10.0,145.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,165.0,10.0,20.0,150.0,24661840
24661895,110.0,280.0,0.0,115.0,275.0,35.0,190.0,110.0,50.0,15.0,365.0,30.0,180.0,105.0,35.0,20.0,15.0,0.0,0.0,35.0,345.0,45.0,60.0,320.0,24661895
24661896,85.0,225.0,0.0,40.0,270.0,40.0,155.0,75.0,30.0,10.0,300.0,10.0,120.0,110.0,40.0,30.0,0.0,0.0,0.0,0.0,265.0,45.0,55.0,240.0,24661896
24661897,160.0,230.0,0.0,95.0,295.0,30.0,180.0,135.0,50.0,0.0,375.0,20.0,265.0,85.0,15.0,10.0,0.0,0.0,0.0,0.0,360.0,25.0,50.0,330.0,24661897
24661898,85.0,205.0,0.0,50.0,240.0,35.0,145.0,50.0,50.0,20.0,275.0,15.0,165.0,105.0,15.0,0.0,0.0,0.0,0.0,0.0,240.0,50.0,35.0,245.0,24661898
24661899,145.0,445.0,0.0,90.0,500.0,80.0,315.0,95.0,95.0,0.0,575.0,10.0,230.0,190.0,70.0,55.0,10.0,10.0,0.0,10.0,555.0,25.0,65.0,450.0,24661899
24661900,125.0,200.0,0.0,95.0,235.0,10.0,145.0,85.0,65.0,25.0,310.0,10.0,150.0,80.0,25.0,30.0,10.0,0.0,0.0,20.0,285.0,40.0,35.0,280.0,24661900
24661901,95.0,95.0,0.0,25.0,160.0,0.0,55.0,65.0,40.0,30.0,175.0,10.0,140.0,25.0,0.0,0.0,10.0,0.0,0.0,0.0,155.0,35.0,0.0,190.0,24661901
24661902,120.0,215.0,0.0,50.0,285.0,15.0,135.0,105.0,60.0,25.0,325.0,10.0,255.0,30.0,15.0,15.0,10.0,0.0,0.0,0.0,295.0,35.0,40.0,285.0,24661902
24661903,55.0,225.0,0.0,50.0,230.0,25.0,170.0,55.0,25.0,0.0,275.0,0.0,130.0,90.0,35.0,20.0,0.0,0.0,0.0,0.0,240.0,40.0,55.0,215.0,24661903
24661904,115.0,175.0,0.0,100.0,185.0,20.0,125.0,90.0,25.0,25.0,280.0,0.0,190.0,40.0,20.0,20.0,15.0,0.0,0.0,0.0,250.0,35.0,20.0,260.0,24661904
24661905,110.0,145.0,0.0,65.0,195.0,10.0,95.0,120.0,25.0,20.0,250.0,10.0,205.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,15.0,0.0,230.0,24661905
24661906,75.0,170.0,0.0,35.0,210.0,0.0,105.0,80.0,45.0,15.0,240.0,0.0,170.0,50.0,0.0,10.0,0.0,0.0,0.0,0.0,210.0,35.0,0.0,220.0,24661906
24661907,165.0,135.0,0.0,65.0,230.0,0.0,95.0,85.0,80.0,40.0,295.0,0.0,265.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,35.0,25.0,275.0,24661907
24661908,150.0,270.0,0.0,120.0,300.0,0.0,200.0,135.0,65.0,15.0,405.0,15.0,295.0,45.0,10.0,15.0,0.0,35.0,20.0,0.0,370.0,50.0,25.0,375.0,24661908
24661909,65.0,175.0,0.0,50.0,195.0,0.0,110.0,80.0,35.0,15.0,225.0,25.0,165.0,40.0,0.0,10.0,0.0,20.0,0.0,0.0,215.0,25.0,15.0,205.0,24661909
24661910,100.0,115.0,0.0,50.0,165.0,0.0,65.0,80.0,40.0,20.0,215.0,0.0,190.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,25.0,0.0,200.0,24661910
24661912,60.0,195.0,0.0,75.0,175.0,0.0,90.0,95.0,40.0,20.0,255.0,0.0,170.0,35.0,25.0,0.0,0.0,0.0,10.0,10.0,215.0,35.0,0.0,220.0,24661912
24661913,60.0,220.0,0.0,30.0,250.0,0.0,160.0,80.0,35.0,0.0,265.0,10.0,220.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,245.0,35.0,0.0,245.0,24661913
