seed_name,column,n_non_null,coverage,n_unique,top_value,top_share
person,weight,223443,1.0,1,37.05007358,1.0
person,sex,223443,1.0,2,male,0.5030052407101587
person,prihm,223443,1.0,2,0,0.5490975327040901
person,age_group,223443,1.0,15,26,0.12796104599383287
person,education_level,223443,1.0,3,1686,0.501385140729403
person,labour_force_status,223443,1.0,3,1867,0.4930205913812471
person,household_size,223443,1.0,5,2,0.3128404112010669
person,household_income,223443,1.0,4,697,0.42852092032419903
person,family_status,223443,1.0,5,1,0.42524044163388425
person,agegrp_core,223443,1.0,15,26,0.12796104599383287
person,hdgree_core,223443,1.0,3,1686,0.501385140729403
person,lfact_core,223443,1.0,3,1867,0.4930205913812471
person,hhsize_core,223443,1.0,5,2,0.3128404112010669
person,totinc_core,223443,1.0,4,697,0.42852092032419903
person,cfstat_core,223443,1.0,5,1,0.42524044163388425
person,citizenship_status,223443,1.0,2,canadian_citizen,0.9377335606843804
person,citizenship_detail,223443,1.0,3,citizen_by_birth,0.8299521578210103
person,immigrant_status,223288,0.9993063107817206,3,non_immigrant,0.8305282863387194
person,commute_mode,85838,0.3841606136688104,7,car_driver,0.7786644609613458
person,commute_mode_group,85838,0.3841606136688104,4,private_vehicle,0.827372492369347
person,commute_duration,85838,0.3841606136688104,5,15_to_29_min,0.3463501013537128
person,dwelling_type_proxy,223066,0.9983127688045721,3,single_detached_house,0.5192588740552123
person,tenure_proxy,223272,0.999234704152737,2,owner,0.6671011143358773
person,bedrooms_proxy,223443,1.0,5,3_bedrooms,0.3595592611986055
person,dwelling_condition_proxy,223443,1.0,3,regular_maintenance,0.6646706318837466
person,core_housing_need_proxy,218608,0.9783613718039947,2,not_in_core_need,0.962435043548269
